titulo,artista,bpm,tonalidad,version,album,año,portada,notas
Bad Romance,Lady Gaga,119,A minor,Original,The Fame Monster,2009,,
Poker Face,Lady Gaga,119,G# minor,Original,The Fame,2008,,
